evidence,matched_node,paper_id,ppr,rank,reviewer,status,title
"Valtorta and Shpitser references prove completeness of do-calculus for _inferring Layer 2 quantities from observational data_. A subsequent paper [4] proves completeness for Layer 3 quanties from obs. data. Finally, recent papers [5, 6] show completeness for Layer 2 / 3 from a combination of observational and experimental data. The latter works seem quite related, since RL may often have observational and experimental data simultaneously.",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Lee, Sanghack, Juan D. Correa, and Elias Bareinboim. ""General identifiability with arbitrary surrogate experiments."" Uncertainty in artificial intelligence. PMLR, 2020."
"Valtorta and Shpitser references prove completeness of do-calculus for _inferring Layer 2 quantities from observational data_. A subsequent paper [4] proves completeness for Layer 3 quanties from obs. data. Finally, recent papers [5, 6] show completeness for Layer 2 / 3 from a combination of observational and experimental data. The latter works seem quite related, since RL may often have observational and experimental data simultaneously.",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Correa, Juan, Sanghack Lee, and Elias Bareinboim. ""Nested counterfactual identification from arbitrary surrogate experiments."" Advances in Neural Information Processing Systems 34 (2021): 6856-6867."
"Addressing Selection Bias (SB): There is a good amount of work on addressing selection bias using graphical models [7]. I am surprised this work is not mentioned, since the tools may well be useful for a Causal RL setting.",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Barenboim, Elias, Jin Tian, and Judea Pearl. ""Recovering from selection bias in causal and statistical inference."" Probabilistic and Causal Inference: The Works of Judea Pearl. 2022. 433-450."
"page 23, last paragraph: TBOW reference appears again for counterfactual reasoning. Furthermore, Kusner and Zhang references are mentioned for fairness, which is fine. However, a number of other results have appeared since, some directly related to fairness in decision-making settings. For example, in the context of causal bandits [8], or in the context of outcome-control [9]. A recent review appears in [10].",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Huang, Wen, Lu Zhang, and Xintao Wu. ""Achieving counterfactual fairness for causal bandit."" Proceedings of the AAAI Conference on Artificial Intelligence. Vol. 36. No. 6. 2022."
"page 23, last paragraph: TBOW reference appears again for counterfactual reasoning. Furthermore, Kusner and Zhang references are mentioned for fairness, which is fine. However, a number of other results have appeared since, some directly related to fairness in decision-making settings. For example, in the context of causal bandits [8], or in the context of outcome-control [9]. A recent review appears in [10].",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Plecko, Drago, and Elias Bareinboim. ""Causal Fairness for Outcome Control."" arXiv preprint arXiv:2306.05066 (2023)."
"page 23, last paragraph: TBOW reference appears again for counterfactual reasoning. Furthermore, Kusner and Zhang references are mentioned for fairness, which is fine. However, a number of other results have appeared since, some directly related to fairness in decision-making settings. For example, in the context of causal bandits [8], or in the context of outcome-control [9]. A recent review appears in [10].",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Carey, Alycia N., and Xintao Wu. ""The causal fairness field guide: Perspectives from social and formal sciences."" Frontiers in Big Data 5 (2022): 892837."
"page 24, first paragraph, 'Through counterfactual reasoning we can explore fairness...': there is a huge amount of complexity hidden here, and the term counterfactual reasoning is used very cursory. A recent organization of various quantities appearing in the literature can be found in [11, Fig. 12].",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Plecko, Drago, and Elias Bareinboim. ""Causal fairness analysis."" arXiv preprint arXiv:2207.11385 (2022)."
"It may be worth discussing the following:

[AGGPS, ICML '23] ""On the Privacy-Robustness-Utility Trilemma in Distributed Learning""

[AKFJG, ICML '24] ""The Privacy Power of Correlated Noise in Decentralized Learning""",,5,,,PIyWlmD58k,not_in_pool_after_cutoff,"[AGGPS, ICML '23] ""On the Privacy-Robustness-Utility Trilemma in Distributed Learning"""
"It may be worth discussing the following:

[AGGPS, ICML '23] ""On the Privacy-Robustness-Utility Trilemma in Distributed Learning""

[AKFJG, ICML '24] ""The Privacy Power of Correlated Noise in Decentralized Learning""",,5,,,PIyWlmD58k,not_in_pool_after_cutoff,"[AKFJG, ICML '24] ""The Privacy Power of Correlated Noise in Decentralized Learning"""
"The authors may consider adding related work in the line of text generation: Zhu, Wanrong, et al. ""Visualize Before You Write: Imagination-Guided Open-Ended Text Generation."" arXiv preprint arXiv:2210.03765 (2022).",,9,,,vz0X75lixR,not_in_pool_after_cutoff,"Zhu, Wanrong, et al. ""Visualize Before You Write: Imagination-Guided Open-Ended Text Generation."" arXiv preprint arXiv:2210.03765 (2022)."
"If the authors focus on broad discussion of *retrieval augmented*, more works in the field of AI creation[1,2], multimodal dialogue[3,4], etc, may be mentioned.",,9,,,Zz37fqPort,not_in_pool_after_cutoff,Neural Storyboard Artist: Visualizing Stories with Coherent Image Sequences
"If the authors focus on broad discussion of *retrieval augmented*, more works in the field of AI creation[1,2], multimodal dialogue[3,4], etc, may be mentioned.",,9,,,Zz37fqPort,not_in_pool_after_cutoff,Multi-Modal Experience Inspired AI Creation
"If the authors focus on broad discussion of *retrieval augmented*, more works in the field of AI creation[1,2], multimodal dialogue[3,4], etc, may be mentioned.",,9,,,Zz37fqPort,not_in_pool_after_cutoff,Maria: A Visual Experience Powered Conversational Agent
"If the authors focus on broad discussion of *retrieval augmented*, more works in the field of AI creation[1,2], multimodal dialogue[3,4], etc, may be mentioned.",,9,,,Zz37fqPort,already_cited,Text is NOT Enough: Integrating Visual Impressions into Open-domain Dialogue Generation
notable exception was generative models for synthesis plans [1-2].,,10,,,l8vILDA7UB,not_in_pool_after_cutoff,Barking up the right tree: an approach to search over molecule synthesis DAGs
notable exception was generative models for synthesis plans [1-2].,,10,,,l8vILDA7UB,not_in_pool_after_cutoff,Learning To Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",W4300979635,10,0.0,50,HFg2PuZ5zb,pool_candidate,"Liu et al, ""FusionRetro: Molecule Representation Fusion via In-Context Learning for Retrosynthetic Planning"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Maziarz et al, ""Re-evaluating Retrosynthesis Algorithms with Syntheseus"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Hassen et al, ""Mind the Retrosynthesis Gap: Bridging the divide between Single-step and Multi-step Retrosynthesis Prediction"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",W4391826941,10,0.0,27,HFg2PuZ5zb,pool_candidate,"Torren-Peraire et al, ""Models Matter: The Impact of Single-Step Retrosynthesis on Synthesis Planning"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Tripp et al, ""Re-evaluating Chemical Synthesis Planning Algorithms"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Bradshaw et al, ""A Model to Search for Synthesizable Molecules"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Zhong et al, ""Root-aligned SMILES: A Tight Representation for Chemical Reaction Prediction"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",,10,,,HFg2PuZ5zb,not_in_pool_after_cutoff,"Mayfield et al, ""Pistachio: Search and Faceting of Large Reaction Databases"""
"While many existing papers and references are already included, a review paper should hopefully be exhaustive, so some more references listed in the ""References"" section of my review could also be included. Specifically, things that could also be mentioned include: - Pistachio dataset [8] which was also used in some of the works, either for testing generalization [2] or for pretraining [10] - More single-step models: [7] - More search algorithms: [1, 9] - Papers performing a holistic evaluation of several approaches and discussing potential pitfalls: [2-5] - Finally, there is also some work on retrosynthesis-driven drug-design [6] which often doesn't follow the backward retrosynthetic search blueprint, which may be out of scope for this review, depending on the authors' preference.",W4387688066,10,0.0,43,HFg2PuZ5zb,pool_candidate,"Tripp et al, ""Retro-fallback: retrosynthetic planning in an uncertain world"""
"In Section 3.4, the authors did not cite the paper of Deep Sets++ and Set Transformer++.",,11,,,1KSIJbVRRW,already_cited,Deep Sets++
"In Section 3.4, the authors did not cite the paper of Deep Sets++ and Set Transformer++.",W2953273646,11,0.001632683854339403,5,1KSIJbVRRW,pool_candidate,Set Transformer++
"1. Distilled Prompt Learning for Incomplete Multimodal Survival Prediction, CVPR 2025 [distilled models category] 
2. A deep learning model to predict RNA-Seq expression of tumours from whole slide images, Nature Comm 2020 [modality generation]
3. Deep Learning-Inferred Multiplex ImmunoFluorescence for Immunohistochemical Image Quantification, Nature Mac Intl 2022 [modality generation]",,12,,,49vtJa8DET,not_in_pool_after_cutoff,"Distilled Prompt Learning for Incomplete Multimodal Survival Prediction, CVPR 2025"
"1. Distilled Prompt Learning for Incomplete Multimodal Survival Prediction, CVPR 2025 [distilled models category] 
2. A deep learning model to predict RNA-Seq expression of tumours from whole slide images, Nature Comm 2020 [modality generation]
3. Deep Learning-Inferred Multiplex ImmunoFluorescence for Immunohistochemical Image Quantification, Nature Mac Intl 2022 [modality generation]",,12,,,49vtJa8DET,not_in_pool_after_cutoff,"A deep learning model to predict RNA-Seq expression of tumours from whole slide images, Nature Comm 2020"
"1. Distilled Prompt Learning for Incomplete Multimodal Survival Prediction, CVPR 2025 [distilled models category] 
2. A deep learning model to predict RNA-Seq expression of tumours from whole slide images, Nature Comm 2020 [modality generation]
3. Deep Learning-Inferred Multiplex ImmunoFluorescence for Immunohistochemical Image Quantification, Nature Mac Intl 2022 [modality generation]",,12,,,49vtJa8DET,not_in_pool_after_cutoff,"Deep Learning-Inferred Multiplex ImmunoFluorescence for Immunohistochemical Image Quantification, Nature Mac Intl 2022"
"A few missing citations
- When discussing architectures in DRL, please consider cite IMPALA [1]
- Deep Transformer Q-Networks [2] uses transformer with observation history as input, and the bellman loss is trained for multiple time-steps together.
- [3] discusses applying ViT to RL",,13,,,ZkIXkjzLfA,not_in_pool_after_cutoff,"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures. Espeholt et al., 2018"
"A few missing citations
- When discussing architectures in DRL, please consider cite IMPALA [1]
- Deep Transformer Q-Networks [2] uses transformer with observation history as input, and the bellman loss is trained for multiple time-steps together.
- [3] discusses applying ViT to RL",W4281725229,13,0.0,84,ZkIXkjzLfA,pool_candidate,"Deep transformer q-networks for partially observable reinforcement learning. Esslinger et al., 2022"
"A few missing citations
- When discussing architectures in DRL, please consider cite IMPALA [1]
- Deep Transformer Q-Networks [2] uses transformer with observation history as input, and the bellman loss is trained for multiple time-steps together.
- [3] discusses applying ViT to RL",,13,,,ZkIXkjzLfA,not_in_pool_after_cutoff,"Stabilizing Deep Q-Learning with ConvNets and Vision Transformers under Data Augmentation. Hansen et al., 2021"
"Transfer learning box: ""Pan"" reference missing.",,15,,,LyHjFZrpQw,not_in_pool_after_cutoff,Pan
"The exclusion of papers such as Henderson et al ( https://arxiv.org/abs/1709.06560 ) or Lipton and Steinhardt ( https://arxiv.org/abs/1807.03341 ) and Sculley et al ( https://openreview.net/forum?id=rJWF0Fywf ) is not clear. ... it is a surprise that this [Henderson et al] is not included. ... Discussions such as Rogers ( https://hackingsemantics.xyz/2023/closed-baselines/ ) seem relevant and related, but are not discussed. ... external evaluation of models (eg https://arxiv.org/abs/2305.15324 and https://doi.org/10.1145/3306618.3314244 ). ... Examples include https://arxiv.org/abs/1810.03993 , https://arxiv.org/abs/1803.09010 , and https://arxiv.org/abs/2204.10817",,16,,,fNXwbe68rq,not_in_pool_after_cutoff,Henderson et al (https://arxiv.org/abs/1709.06560)
"The exclusion of papers such as Henderson et al ( https://arxiv.org/abs/1709.06560 ) or Lipton and Steinhardt ( https://arxiv.org/abs/1807.03341 ) and Sculley et al ( https://openreview.net/forum?id=rJWF0Fywf ) is not clear. ... it is a surprise that this [Henderson et al] is not included. ... Discussions such as Rogers ( https://hackingsemantics.xyz/2023/closed-baselines/ ) seem relevant and related, but are not discussed. ... external evaluation of models (eg https://arxiv.org/abs/2305.15324 and https://doi.org/10.1145/3306618.3314244 ). ... Examples include https://arxiv.org/abs/1810.03993 , https://arxiv.org/abs/1803.09010 , and https://arxiv.org/abs/2204.10817",,16,,,fNXwbe68rq,not_in_pool_after_cutoff,Lipton and Steinhardt (https://arxiv.org/abs/1807.03341)
"The exclusion of papers such as Henderson et al ( https://arxiv.org/abs/1709.06560 ) or Lipton and Steinhardt ( https://arxiv.org/abs/1807.03341 ) and Sculley et al ( https://openreview.net/forum?id=rJWF0Fywf ) is not clear. ... it is a surprise that this [Henderson et al] is not included. ... Discussions such as Rogers ( https://hackingsemantics.xyz/2023/closed-baselines/ ) seem relevant and related, but are not discussed. ... external evaluation of models (eg https://arxiv.org/abs/2305.15324 and https://doi.org/10.1145/3306618.3314244 ). ... Examples include https://arxiv.org/abs/1810.03993 , https://arxiv.org/abs/1803.09010 , and https://arxiv.org/abs/2204.10817",,16,,,fNXwbe68rq,not_in_pool_after_cutoff,Sculley et al (https://openreview.net/forum?id=rJWF0Fywf)
"The exclusion of papers such as Henderson et al ( https://arxiv.org/abs/1709.06560 ) or Lipton and Steinhardt ( https://arxiv.org/abs/1807.03341 ) and Sculley et al ( https://openreview.net/forum?id=rJWF0Fywf ) is not clear. ... it is a surprise that this [Henderson et al] is not included. ... Discussions such as Rogers ( https://hackingsemantics.xyz/2023/closed-baselines/ ) seem relevant and related, but are not discussed. ... external evaluation of models (eg https://arxiv.org/abs/2305.15324 and https://doi.org/10.1145/3306618.3314244 ). ... Examples include https://arxiv.org/abs/1810.03993 , https://arxiv.org/abs/1803.09010 , and https://arxiv.org/abs/2204.10817",,16,,,fNXwbe68rq,not_in_pool_after_cutoff,https://arxiv.org/abs/2305.15324
