paper_id,forum_id,title,venue,accepted,scope_existence,gap_section_coverage,gap_volume_per_section,contrast_section_coverage,contrast_volume_per_section,synthesis_section_coverage,synthesis_volume_per_section,synthesis_to_summary_ratio,contribution_grounding,citation_density,citation_section_coverage,topic_breadth,content_sentence_count,integrity_internal,integrity_factual,integrity_taxonomy,integrity_argument,graph_usable,reference_ppr_mass,topic_community_coverage,graph_nodes,graph_edges,matched_citations
36,3HE4vPNIfX,A Survey on Fairness Without Demographics,Accepted by TMLR,1,1.0,0.10416666666666667,0.125,0.5833333333333334,1.5625,0.125,0.125,0.2608695652173913,1.0,0.16748166259168704,0.7916666666666666,48.0,728.0,6.0,9.0,1.0,0.0,1.0,0.552848723679314,0.9709856721470635,1000.0,3169.0,16.0
38,qhtHsvF5zj,Automated Design of Metaheuristic Algorithms: A Survey,Accepted by TMLR,1,1.0,0.0975609756097561,0.12195121951219512,0.1951219512195122,0.24390243902439024,0.07317073170731707,0.0975609756097561,0.6666666666666666,0.0,0.2807377049180328,0.5365853658536586,41.0,438.0,0.0,3.0,0.0,0.0,1.0,0.6017493168828574,0.9412524380884577,1000.0,5706.0,8.0
40,ytYWmZ9haH,Survey on Coresets for Deep Learning: Methods and Applications,Rejected by TMLR,0,1.0,0.25,0.3611111111111111,0.5,1.0555555555555556,0.16666666666666666,0.25,0.225,1.0,0.30337078651685395,0.9166666666666666,36.0,566.0,1.0,0.0,0.0,0.0,1.0,0.583422011208443,0.9527740449128888,1000.0,2943.0,18.0
41,wHECkBOwyt,Efficient Diffusion Models: A Survey,Accepted by TMLR,1,1.0,0.07142857142857142,0.07142857142857142,0.44642857142857145,1.0892857142857142,0.07142857142857142,0.07142857142857142,0.2,0.0,0.15429403202328967,0.6428571428571429,56.0,648.0,1.0,1.0,0.0,0.0,1.0,0.6689402204227373,0.9887642244556928,1000.0,2306.0,7.0
42,sySqlxj8EB,Efficient Reasoning Models: A Survey,Accepted by TMLR,1,1.0,0.16666666666666666,0.21428571428571427,0.35714285714285715,0.5,0.11904761904761904,0.11904761904761904,0.45454545454545453,1.0,0.26616915422885573,0.6428571428571429,42.0,362.0,1.0,0.0,0.0,1.0,1.0,0.7461869620363859,0.99365467405091,1000.0,1601.0,5.0
43,bsCCJHbO8A,Efficient Large Language Models: A Survey,Accepted by TMLR,1,1.0,0.025974025974025976,0.025974025974025976,0.4155844155844156,1.4285714285714286,0.03896103896103896,0.05194805194805195,0.09523809523809523,1.0,0.2281795511221945,0.7792207792207793,77.0,763.0,2.0,0.0,0.0,0.0,1.0,0.5797289227319139,0.9379587139098549,1000.0,2539.0,15.0
44,wnpuy827Yv,A Survey of Lottery Ticket Hypothesis,Rejected by TMLR,0,0.0,0.13793103448275862,0.20689655172413793,0.5517241379310345,1.2758620689655173,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.0,0.15236051502145923,0.6551724137931034,29.0,423.0,1.0,2.0,0.0,1.0,1.0,0.626652528288969,0.9993536068707013,1000.0,2482.0,40.0
45,0e1Kn76HM1,Uncertainty in Graph Neural Networks: A Survey,Accepted by TMLR,1,1.0,0.05,0.05,0.7,2.0,0.25,0.3,0.3,1.0,0.18705035971223022,0.8,20.0,383.0,0.0,1.0,0.0,1.0,1.0,0.536177978730234,0.9488218015222852,1000.0,2855.0,11.0
47,XfHWcNTSHp,A Survey on Data Selection for Language Models,Accepted by TMLR,1,1.0,0.06382978723404255,0.07446808510638298,0.4148936170212766,0.7872340425531915,0.06382978723404255,0.06382978723404255,0.1935483870967742,1.0,0.21608527131782945,0.5957446808510638,94.0,974.0,1.0,0.0,0.0,0.0,1.0,0.638144723276714,0.963814472327671,1000.0,1889.0,3.0
49,q9nykJfzku,Privacy Risks and Preservation Methods in Explainable Artificial Intelligence: A Scoping Review,Accepted by TMLR,1,1.0,0.06521739130434782,0.10869565217391304,0.43478260869565216,1.0,0.08695652173913043,0.08695652173913043,0.09090909090909091,1.0,0.277526395173454,0.782608695652174,46.0,583.0,0.0,0.0,0.0,0.0,1.0,0.529969446990181,0.9547591328651902,1000.0,3068.0,6.0
50,NaDWaYfVxm,A Survey on Self-Supervised Representation Learning,Rejected by TMLR,0,1.0,0.0196078431372549,0.0196078431372549,0.4117647058823529,0.7058823529411765,0.13725490196078433,0.13725490196078433,0.30434782608695654,1.0,0.08379888268156424,0.7254901960784313,51.0,700.0,0.0,0.0,0.0,1.0,1.0,0.5698384311771514,0.9500706632640172,1000.0,5068.0,7.0
53,TDujguk7NG,A Survey of Optimization Methods for Training DL Models: Theoretical Perspective on Convergence and Generalization,Rejected by TMLR,0,1.0,0.04918032786885246,0.04918032786885246,0.3114754098360656,0.639344262295082,0.13114754098360656,0.14754098360655737,0.32142857142857145,0.0,0.05372405372405373,0.6229508196721312,61.0,1547.0,4.0,13.0,0.0,1.0,1.0,0.6094389648871084,0.7841519185610422,1000.0,3942.0,8.0
54,9lWojZKMjt,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey,Accepted by TMLR,1,1.0,0.21518987341772153,0.2911392405063291,0.43037974683544306,0.6835443037974683,0.25316455696202533,0.3037974683544304,0.42857142857142855,1.0,0.18046971569839307,0.7215189873417721,79.0,770.0,1.0,0.0,1.0,7.0,1.0,0.7673316127310459,0.9961758503716396,1000.0,1678.0,8.0
58,H9zhC5pVnH,A Survey on Over-smoothing and Over-squashing: Unified Propagation Perspectives on Graph Neural Networks and Transformers,Accepted by TMLR,1,1.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.7142857142857143,0.14285714285714285,0.21428571428571427,0.23076923076923078,0.0,0.2607449856733524,0.7142857142857143,14.0,297.0,2.0,8.0,0.0,6.0,1.0,0.7776879178407101,0.9214198282370659,1000.0,2344.0,6.0
59,Ma25S4ludQ,Know Your Self-supervised Learning: A Survey on Image-based Generative and Discriminative Training,Accepted by TMLR,1,1.0,0.14285714285714285,0.19047619047619047,0.47619047619047616,0.9523809523809523,0.14285714285714285,0.14285714285714285,0.25,0.0,0.3774104683195592,0.7142857142857143,21.0,310.0,0.0,0.0,0.0,0.0,1.0,0.5564337825258684,0.9481679989125998,1000.0,5098.0,14.0
60,ZiJYahyXLU,Machine Learning with Physics Knowledge for Prediction: A Survey,Accepted by TMLR,1,1.0,0.07407407407407407,0.07407407407407407,0.6296296296296297,3.0,0.037037037037037035,0.037037037037037035,0.045454545454545456,0.0,0.25325325325325326,0.9259259259259259,27.0,900.0,3.0,5.0,0.0,0.0,1.0,0.5321702147987486,0.9434881788263658,1000.0,4135.0,7.0
61,upAWnMgpnH,"A Survey on Large Language Models for Critical Societal Domains: Finance, Healthcare, and Law",Accepted by TMLR,1,1.0,0.14705882352941177,0.17647058823529413,0.3088235294117647,0.5735294117647058,0.08823529411764706,0.08823529411764706,0.15,1.0,0.3116564417177914,0.7205882352941176,68.0,778.0,0.0,0.0,0.0,2.0,1.0,0.6827183595820436,0.9302630334380856,1000.0,2827.0,11.0
64,zwzodDJkzZ,Adversarial Attacks on Multimodal Large Language Models: A Comprehensive Survey,Accepted by TMLR,1,1.0,0.08333333333333333,0.10416666666666667,0.2916666666666667,0.3333333333333333,0.10416666666666667,0.125,0.24,1.0,0.16192560175054704,0.6458333333333334,48.0,413.0,3.0,1.0,1.0,4.0,1.0,0.7021849814128747,0.904432201875748,1000.0,3114.0,8.0
66,RY19y2RI1O,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,Accepted by TMLR,1,1.0,0.12173913043478261,0.14782608695652175,0.25217391304347825,0.3826086956521739,0.0782608695652174,0.09565217391304348,0.55,0.0,0.21734357848518113,0.6956521739130435,115.0,864.0,2.0,5.0,0.0,3.0,1.0,0.8539036203039219,0.9744057762864002,1000.0,1222.0,10.0
67,YxKJihRcby,Deep Neural Networks and Brain Alignment: Brain Encoding and Decoding (Survey),Accepted by TMLR,1,1.0,0.07142857142857142,0.11428571428571428,0.44285714285714284,0.7428571428571429,0.15714285714285714,0.17142857142857143,0.35294117647058826,1.0,0.22303921568627452,0.6857142857142857,70.0,747.0,1.0,7.0,0.0,3.0,1.0,0.5310633458639241,0.9610508728175831,1000.0,3198.0,7.0
69,h4BYtZ79uy,Graph Neural Networks Designed for Different Graph Types: A Survey,Accepted by TMLR,1,1.0,0.0,0.0,0.4782608695652174,0.5652173913043478,0.08695652173913043,0.08695652173913043,0.2222222222222222,1.0,0.16352201257861634,0.6956521739130435,23.0,400.0,2.0,3.0,0.0,0.0,1.0,0.5345576534316459,0.9605884907141908,1000.0,4368.0,17.0
70,LGsed0QQVq,"The Five Ws of Multi-Agent Communication: Who Talks to Whom, When, What, and Why - A Survey from MARL to Emergent Language and LLMs",Accepted by TMLR,1,1.0,0.19834710743801653,0.371900826446281,0.45454545454545453,1.1239669421487604,0.2727272727272727,0.3884297520661157,0.4845360824742268,1.0,0.0764915859255482,0.39669421487603307,121.0,1837.0,0.0,1.0,0.0,0.0,1.0,0.5955067777354107,0.9774891204287258,1000.0,3330.0,13.0
73,rBNQdXdzBg,"A Survey on Quantum Machine Learning: Basics, Current Trends, Challenges, Opportunities, and the Road Ahead",Rejected by TMLR,0,1.0,0.0875,0.1125,0.65,1.2375,0.1125,0.125,0.35714285714285715,1.0,0.17198764160659114,0.7125,80.0,905.0,4.0,5.0,0.0,2.0,1.0,0.5527043031701483,0.9773687866677111,1000.0,6622.0,22.0
74,RoShSRQQ67,"A Survey on Deep Learning Approaches for Tabular Data Generation: Utility, Alignment, Fidelity, Privacy, Diversity, and Beyond",Accepted by TMLR,1,1.0,0.02631578947368421,0.02631578947368421,0.4473684210526316,0.8947368421052632,0.0,0.0,0.0,0.0,0.20708446866485014,0.7105263157894737,38.0,309.0,0.0,3.0,0.0,0.0,1.0,0.6819708558232991,0.9735298844349379,1000.0,2332.0,13.0
75,xG8un9ZbqT,Neural Graph Reasoning: A Survey on Complex Logical Query Answering,Accepted by TMLR,1,1.0,0.21666666666666667,0.25,0.38333333333333336,0.7833333333333333,0.08333333333333333,0.1,0.25,1.0,0.12527716186252771,0.5833333333333334,60.0,868.0,6.0,6.0,0.0,1.0,1.0,0.5653120138899788,0.9584490385534888,1000.0,4835.0,9.0
76,2mje6mGNdn,Deep Learning and Foundation Models for Weather Prediction: A Survey,Rejected by TMLR,0,1.0,0.1891891891891892,0.21621621621621623,0.2702702702702703,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.15384615384615385,1.0,0.4613259668508287,0.6756756756756757,37.0,311.0,0.0,8.0,0.0,5.0,1.0,0.5318113681331653,0.9184242921227703,1000.0,2230.0,6.0
77,1MxsAg7KGk,A Survey on Self-Play Methods in Reinforcement Learning,Rejected by TMLR,0,1.0,0.06557377049180328,0.06557377049180328,0.45901639344262296,0.7377049180327869,0.13114754098360656,0.18032786885245902,0.5,0.0,0.15532734274711169,0.6229508196721312,61.0,730.0,3.0,14.0,0.0,2.0,1.0,0.5572171164289981,0.9266402632913434,1000.0,3558.0,14.0
78,hkNnGqZnpa,Unifying the Perspectives of NLP and Software Engineering: A Survey on Language Models for Code,Accepted by TMLR,1,1.0,0.02127659574468085,0.02127659574468085,0.6595744680851063,1.5319148936170213,0.0425531914893617,0.0425531914893617,0.08,1.0,0.40336134453781514,0.8297872340425532,47.0,415.0,1.0,0.0,1.0,1.0,1.0,0.6963768731233848,0.950279166365164,1000.0,2161.0,4.0
79,XwQ7dc4bqn,A‌ Survey of Reasoning in Autonomous Driving Systems: Open Challenges and Emerging Paradigms,Accepted by TMLR,1,1.0,0.1875,0.3125,0.234375,0.3125,0.09375,0.09375,0.20689655172413793,0.0,0.18815331010452963,0.46875,64.0,485.0,0.0,2.0,1.0,1.0,1.0,0.5613443203955678,0.9426765629271485,1000.0,2519.0,13.0
80,CTr3bovS5F,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",Accepted by TMLR,1,1.0,0.19047619047619047,0.23809523809523808,0.3619047619047619,0.4857142857142857,0.12380952380952381,0.1523809523809524,0.47058823529411764,1.0,0.1874356333676622,0.5714285714285714,105.0,957.0,1.0,1.0,1.0,2.0,1.0,0.6352160013411601,0.986883586574868,1000.0,1232.0,3.0
81,Bchvaaod6g,Robustness in Large Language Models: A Survey of Mitigation Strategies and Evaluation Metrics,Accepted by TMLR,1,1.0,0.04938271604938271,0.06172839506172839,0.3333333333333333,0.5555555555555556,0.06172839506172839,0.07407407407407407,0.2727272727272727,1.0,0.1803921568627451,0.6049382716049383,81.0,703.0,3.0,4.0,0.0,2.0,1.0,0.66530350580942,0.9308588056944129,1000.0,2829.0,7.0
85,BnPkFvDZ6k,Bias Assessment and Data Drift Detection in Medical Image Analysis: A Survey,Rejected by TMLR,0,1.0,0.1282051282051282,0.1794871794871795,0.5384615384615384,1.0256410256410255,0.07692307692307693,0.07692307692307693,0.09090909090909091,1.0,0.16334661354581673,0.8205128205128205,39.0,650.0,1.0,0.0,0.0,1.0,1.0,0.5369644108549815,0.9185402162120088,1000.0,1964.0,3.0
86,AYJ3m7BocI,A Survey on Transferability of Adversarial Examples Across Deep Neural Networks,Accepted by TMLR,1,1.0,0.05263157894736842,0.05263157894736842,0.22807017543859648,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.11538461538461539,0.0,0.1821247892074199,0.543859649122807,57.0,523.0,2.0,1.0,0.0,0.0,1.0,0.558561347545276,0.9733415308824402,1000.0,5425.0,24.0
87,HduK51xNtS,Graph Reinforcement Learning for Combinatorial Optimization: A Survey and Unifying Perspective,Accepted by TMLR,1,1.0,0.07547169811320754,0.07547169811320754,0.49056603773584906,1.0566037735849056,0.07547169811320754,0.07547169811320754,0.16666666666666666,1.0,0.2275943396226415,0.6792452830188679,53.0,806.0,3.0,3.0,0.0,1.0,1.0,0.6225649936148239,0.9383424456657041,1000.0,2666.0,10.0
88,FJgtVfUxLQ,A Survey on the Honesty of Large Language Models,Accepted by TMLR,1,1.0,0.4375,0.5625,0.375,0.46875,0.0,0.0,0.0,1.0,0.24782608695652175,0.65625,32.0,368.0,0.0,2.0,0.0,1.0,1.0,0.9999996723598678,0.9999996723598678,1000.0,1885.0,4.0
89,QTsJXSvAI2,Where Do We Stand with Implicit Neural Representations? A Technical and Performance Survey,Accepted by TMLR,1,1.0,0.3225806451612903,0.41935483870967744,0.45161290322580644,1.0,0.16129032258064516,0.22580645161290322,0.4666666666666667,1.0,0.06578947368421052,0.0967741935483871,31.0,282.0,0.0,1.0,0.0,0.0,1.0,0.6903809695619507,0.861046116945188,1000.0,3022.0,4.0
90,G2od9JVHkE,A Survey of Token Compression for Efficient Multimodal Large Language Models,Accepted by TMLR,1,1.0,0.09210526315789473,0.10526315789473684,0.34210526315789475,0.5,0.02631578947368421,0.02631578947368421,0.25,1.0,0.23550724637681159,0.5263157894736842,76.0,498.0,0.0,0.0,0.0,1.0,1.0,0.921654309453104,0.9750717964273262,1000.0,1599.0,10.0
91,WUQsBiJqyP,"A Comprehensive Survey on Inverse Constrained Reinforcement Learning: Definitions, Progress and Challenges",Accepted by TMLR,1,1.0,0.16666666666666666,0.2037037037037037,0.4444444444444444,0.7592592592592593,0.018518518518518517,0.05555555555555555,0.17647058823529413,0.0,0.1835334476843911,0.6481481481481481,54.0,551.0,1.0,1.0,0.0,0.0,1.0,0.6344554988113867,0.9036834436211243,1000.0,3623.0,9.0
92,z3JZzu9EA3,A Survey on Large Language Model Acceleration based on KV Cache Management,Accepted by TMLR,1,0.0,0.16666666666666666,0.21212121212121213,0.3333333333333333,0.48484848484848486,0.21212121212121213,0.22727272727272727,0.46875,0.0,0.20027063599458728,0.6515151515151515,66.0,685.0,1.0,2.0,0.0,0.0,1.0,1.0000000000000009,1.0000000000000009,1000.0,995.0,16.0
96,DZkikdg5sl,Formal Methods in Robot Policy Learning and Verification: A Survey on Current Techniques and Future Directions,Accepted by TMLR,1,1.0,0.3333333333333333,0.5757575757575758,0.5151515151515151,0.8484848484848485,0.24242424242424243,0.30303030303030304,0.45454545454545453,1.0,0.4819004524886878,0.7272727272727273,33.0,382.0,1.0,2.0,0.0,1.0,1.0,0.535241202690761,0.6980697038150325,1000.0,2868.0,5.0
97,NQPo8ZhQPa,In-context Learning with Retrieved Demonstrations for Language Models: A Survey,Accepted by TMLR,1,0.0,0.16129032258064516,0.16129032258064516,0.6774193548387096,1.3225806451612903,0.03225806451612903,0.03225806451612903,0.16666666666666666,0.0,0.36675461741424803,0.9032258064516129,31.0,345.0,0.0,0.0,0.0,13.0,1.0,0.6220745641804738,0.9716288947524928,1000.0,2132.0,7.0
98,1HVpTXwZxK,Prior and Posterior Networks: A Survey on Evidential Deep Learning Methods For Uncertainty Estimation,Rejected by TMLR,0,0.0,0.0,0.0,0.3235294117647059,0.5,0.029411764705882353,0.029411764705882353,0.25,0.0,0.22311827956989247,0.7058823529411765,34.0,304.0,3.0,6.0,0.0,0.0,1.0,0.6137956767415046,1.0000000000000002,1000.0,2375.0,4.0
99,a90WpmSi0I,Deep Generative Models through the Lens of the Manifold Hypothesis: A Survey and New Connections,Accepted by TMLR,1,1.0,0.03636363636363636,0.05454545454545454,0.5636363636363636,1.290909090909091,0.23636363636363636,0.2727272727272727,0.375,1.0,0.2111984282907662,0.7818181818181819,55.0,1007.0,0.0,2.0,0.0,1.0,1.0,0.6611910884314286,0.9897176949925117,1000.0,1780.0,5.0
102,NZ7GSH92cY,Multi-Modal Foundation Models for Computational Pathology: A Survey,Accepted by TMLR,1,1.0,0.09090909090909091,0.13636363636363635,0.3181818181818182,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.125,1.0,0.17408906882591094,0.6363636363636364,22.0,172.0,0.0,0.0,0.0,0.0,1.0,0.764756361443506,0.9456443694129465,1000.0,3150.0,9.0
105,IZnrCGF9WI,"Large Language Models (LLMs) on Tabular Data: Prediction, Generation, and Understanding - A Survey",Accepted by TMLR,1,1.0,0.10204081632653061,0.10204081632653061,0.5102040816326531,1.183673469387755,0.12244897959183673,0.14285714285714285,0.3333333333333333,1.0,0.16299559471365638,0.6938775510204082,49.0,653.0,0.0,1.0,0.0,2.0,1.0,0.5828222507019802,0.975802984050133,1000.0,2075.0,19.0
106,ywr5sWqQt4,A Comprehensive Study of Real-Time Object Detection Networks Across Multiple Domains: A Survey,Accepted by TMLR,1,1.0,0.018867924528301886,0.018867924528301886,0.49056603773584906,0.7735849056603774,0.3018867924528302,0.32075471698113206,0.5151515151515151,1.0,0.0830860534124629,0.5094339622641509,53.0,572.0,0.0,1.0,0.0,1.0,1.0,0.5395249563143056,0.9799468141731903,1000.0,4629.0,11.0
107,u7GTHazuRp,"A Survey on Generative Modeling with Limited Data, Few Shots, and Zero Shot",Accepted by TMLR,1,1.0,0.13402061855670103,0.30927835051546393,0.28865979381443296,0.5257731958762887,0.061855670103092786,0.08247422680412371,0.23529411764705882,1.0,0.23292273236282196,0.6494845360824743,97.0,848.0,0.0,0.0,0.0,1.0,1.0,0.5989747197781701,0.8872707344655286,1000.0,3204.0,8.0
108,YdMrdhGx9y,A Survey on Causal Discovery Methods for I.I.D. and Time Series Data,Accepted by TMLR,1,1.0,0.056818181818181816,0.056818181818181816,0.38636363636363635,0.6477272727272727,0.011363636363636364,0.011363636363636364,0.047619047619047616,1.0,0.09325946445060018,0.6363636363636364,88.0,1004.0,3.0,3.0,0.0,0.0,1.0,0.5303878517991661,0.9097157916069906,1000.0,2980.0,9.0
111,bNtr6SLgZf,A Survey of Temporal Credit Assignment in Deep Reinforcement Learning,Accepted by TMLR,1,1.0,0.14754098360655737,0.14754098360655737,0.5245901639344263,1.540983606557377,0.21311475409836064,0.2786885245901639,0.2833333333333333,1.0,0.13506261180679785,0.6557377049180327,61.0,883.0,2.0,3.0,0.0,0.0,1.0,0.5896301589068748,0.96155683259896,1000.0,1967.0,12.0
