review_source,file,evaluator,source_set,topic,prompt,weakness_index,severity,judgment,is_correct,taxonomy_id,taxonomy_category,issue,location,rationale,evidence
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,7,minor,invalid,False,8,Missing specific references,"Survey does not cite transportability literature (Pearl & Bareinboim PNAS 2016), which is directly relevant to the generalizability section and represents a major framework for studying policy transfer across environments.",Section 4 (Advancing Generalizability and Knowledge Transfer),该弱点声称缺少transportability文献引用。但检查Section 3.3 Generalize to Different Environments的最后一段，文中明确提到了transportability概念并引用了Pearl & Bareinboim (2014)和Bareinboim & Pearl (2016)。因此该指控不符合事实。,"[""Section 3.3: 'In the field of causal inference, there exists a closely related concept known as transportability...see Pearl & Bareinboim (2014); Bareinboim & Pearl (2016)'""]"
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,8,minor,invalid,False,11,Evidence support insufficient,"Several recent relevant papers on causal RL are missing from the survey coverage, representing gaps in literature comprehensiveness.",Overall paper coverage,该弱点声称有相关论文遗漏但未提供具体参考文献。由于没有具体指出哪些论文应该被引用而没有被引用，仅凭泛泛的'gaps in literature comprehensiveness'无法判定为有效弱点。基于当前信息无法验证此主张。,['Reviewer provides no specific missing paper references to verify the claim']
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,9,minor,valid,True,11,Evidence support insufficient,The treatment of causal mechanisms as P(v_i | pa(v_i)) distributions instead of structural functions f_i is technically incorrect terminology in causal inference.,Section 2.1 SCM paragraph,"该弱点指出将因果机制描述为P(v_i|pa(v_i))分布而非结构函数f_i在技术上不准确。在因果推断的标准定义中，结构方程f_i是确定性函数，而非概率分布。文本确实在描述因果因子分解时提到'causal mechanisms (Schölkopf et al., 2021)'而引用P(V_i|PA(V_i))形式，但因果机制的标准定义应指f_i。","[""Section 2.1: 'the (conditional) probability distributions of the form P(V_i | PA(V_i)) are commonly referred to as causal mechanisms'; standard SCM definition uses deterministic f_i, not distributions""]"
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,10,moderate,valid,True,7,Hallucination,Footnote claims the Markovian assumption is 'considered a consensus in causal inference' - this is factually incorrect given the extensive literature on Semi-Markovian models and latent confounding.,Section 2.1 SCM footnote,调查文本声称Markovian假设'considered complete'或共识，这实际上是准确的。do-calculus的完备性是指在给定马尔可夫条件下识别任意干预效果的能力。然而，如果该弱点是指文本声称Markovian假设是因果推断的共识/必要假设，那确实不正确——半马尔可夫模型和潜在混杂研究都承认非马尔可夫情形。,"[""Survey text correctly uses 'Markovian' and later discusses non-Markovian cases (semi-Markovian models with non-independent exogenous variables); Section 2.1 mentions 'endogenous variable V_i is independent of all its non-descendants, given its parents PA(V_i)' as defining property""]"
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,11,minor,valid,True,8,Missing specific references,"Selection bias section does not cite Bareinboim et al.'s work on graphical approaches to selection bias recovery, which could be useful for CRL settings.",Section 5.3 (Addressing Selection Bias),Section 5.3讨论选择偏差但确实没有引用Bareinboim等人的图形方法工作来讨论选择偏差下的可恢复性。文本末尾提到'the graphical conditions proposed by Bareinboim et al. (2014)'但仅作为简短提及，没有充分展开这类方法对RL中选择偏差问题的潜在应用价值。,"[""Section 5.3: 'In the realm of causal inference, substantial efforts have been dedicated to addressing the challenge of selection bias'; brief mention of Bareinboim et al. (2014) but lacks depth on graphical approaches for CRL""]"
baselines_2_semantic_meta_review,cc/crawled_surveys/004_causal_reinforcement_learning_a_survey_qqnttX9LPo_trustsurvey.json,cc,crawled_surveys,004_causal_reinforcement_learning_a_survey_qqnttX9LPo,trustsurvey,12,minor,valid,True,9,Missing specific topics,"Do-calculus completeness discussion omits recent papers on Layer 2/3 identification from observational and experimental data combined, which is highly relevant since RL often has both data types available.",Section 5.1 (Addressing Confounding Bias),Section 5.1讨论do-calculus时提到其完备性，但确实没有讨论结合观测和实验数据进行第2层/第3层识别的最新进展。由于RL经常可以使用两种数据类型（在线干预数据和离线观测数据），data fusion相关工作是高度相关的，但被遗漏了。,"[""Section 5.1: focuses on Layer 2 identification methods but does not discuss combination of observational and experimental data for higher-layer reasoning; RL's ability to collect both data types is mentioned in Section 4.3 data fusion discussion""]"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,1,moderate,valid,True,2,Comparison insufficient,Missing specific comparison table or structured contrast of major methods on standard benchmarks,Sections 6-9 (architectures and tasks): methods are described individually but without side-by-side benchmark comparisons,该弱点指出survey在Sections 6-9中虽然详细描述了各类方法（如PointNet++、KPConv、MinkowskiNet等），但缺乏将这些方法在标准基准上的性能进行横向对比的结构化表格。经验证，Survey确实在Section 4中提供了数据集表格（Table 1），但整篇survey确实没有提供任何定量对比表格来展示分类、分割、检测等任务的benchmark性能比较。这种结构化的对比缺失是合理的文献回顾缺陷，读者难以快速比较不同方法在相同评测环境下的表现。,"['Survey mentions datasets in Section 4 Table 1 but provides no benchmark comparison tables anywhere', 'Sections 6-9 individually describe methods: ""KPConv, RandLA-Net, MinkowskiNet... pushed performance on indoor and outdoor segmentation benchmarks"" but without numbers or side-by-side tables', 'Section 10 (Detection) discusses VoxelNet, SECOND, PointPillars, PV-RCNN, CenterPoint without quantitative comparison', 'Survey explicitly states evaluation practices vary by task and discusses metrics, indicating the need for comparison but not providing it']"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,2,minor,valid,True,1,Gap and future-work discussion insufficient,Temporal/spatial modeling of dynamic point clouds is underexplored despite being listed as an open problem,Section 11.2 'Unified spatial-temporal modeling' and Section 9 'Detection',该弱点指出尽管Section 11.2将'统一时空建模'列为open problem，survey对动态点云的时序处理方法覆盖不足。经验证，Survey在Section 11.2中承认'most point cloud architectures process static frames'并提及LiDAR sweeps和temporal modeling的必要性，但在具体技术方法层面仅简要提到MinkowskiNet的4D spatio-temporal能力，缺乏对4D时空卷积、点云追踪、序列建模等方法的系统性回顾。Open problem的存在并不免除survey对已有时序方法的责任，这种覆盖不平衡是合理的缺陷。,"[""Section 11.2: 'Most point cloud architectures process static frames. Real systems observe streams: LiDAR sweeps, RGB-D videos, dynamic scenes'"", ""Section 7 only briefly mentions: 'MinkowskiNet... has been influential for indoor segmentation and 4D spatio-temporal processing'"", 'Survey lacks systematic coverage of 4D spatio-temporal convolution networks, point cloud tracking, or motion compensation methods', ""Section 11 (Registration/SLAM) mentions 'temporal coherence, loop closure, moving objects' but doesn't review specific temporal modeling approaches in detail""]"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_plain.json,cc,codex_surveys,3d_point_cloud_processing,plain,1,moderate,valid,True,2,Comparison insufficient,Lack of quantitative performance comparison tables. The survey discusses methods qualitatively but provides no comparative benchmarking data across methods or datasets.,"Sections 5-12 (Representation Taxonomy through Completion), general omission",该弱点成立。调查论文广泛讨论了PointNet、PointNet++、KPConv、MinkowskiNet、PV-RCNN等代表性方法及其技术特点，但在整个Section 5-12中确实不存在任何性能对比表格。唯一的数据表格是表1（数据集对比），完全没有准确率、mIoU、AP等Benchmark数值的多方法横向比较，这与同类优秀综述（如Guo等人2021年调查）通常包含的量化对比表格形成明显差距。,"['表1仅列出数据集信息，无方法性能对比', ' Survey text中各方法以自然语言描述为主，无量化数据']"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_plain.json,cc,codex_surveys,3d_point_cloud_processing,plain,2,moderate,valid,True,1,Gap and future-work discussion insufficient,Open problems section is brief and lacks depth. Each subsection is only a few sentences without detailed discussion of specific research directions or approaches.,"Section 13 (Open Problems), lines 276-296",该弱点成立。Section 13开放问题包含5个子节（13.1-13.5），但每节仅2-4句话，缺乏具体研究方向的深入探讨。例如'13.1 Scalable and transferable representation learning'仅提及web-scale预训练缺失、数据集碎片化问题，远未达到可操作的研究路线图深度；'13.3 Geometry-aware foundation models'仅提出' promising directions include multimodal pretraining'等泛泛建议，无文献脉络或具体方法论分析。,"[""Section 13.1: 'The field still lacks a point cloud equivalent of web-scale image-text pretraining. Large 3D datasets are costly, fragmented, and domain-specific.' 仅此两句，无展开"", 'Section 13标题下各小节均不超过3句表述']"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_plain.json,cc,codex_surveys,3d_point_cloud_processing,plain,3,minor,invalid,False,9,Missing specific topics,"Foundation model coverage is superficial. Given the importance of this emerging direction (mentioned in the abstract), recent work on large-scale pretraining and multimodal 3D models deserves more substantial treatment.","Section 9 (Transformers and Pretraining), lines 214-219",该指控无效。尽管抽象承诺了'large-scale pretraining and multimodal foundation models'，但Survey在Section 9明确覆盖了FoldingNet（自编码器目标）、Point-BERT（离散token的掩码点建模）和Point-MAE（掩码自编码），并讨论了预训练的特殊挑战（几何掩码歧义、Chamfer距离偏好平滑等问题）。此外，Section 13.3专设'Geometry-aware foundation models'讨论方向，且在Abstract、Introduction和Conclusion中多处强调多模态pretraining的重要性，整体覆盖与该方向当前的文献深度基本匹配。,"[""Section 9: 'FoldingNet used an autoencoding objective... Point-BERT introduced masked point modeling with discrete tokens, and Point-MAE showed that masked autoencoding can learn transferable representations'"", ""Section 9: 'masking geometry can be ambiguous, Chamfer distance may reward overly smooth reconstructions, and pretraining datasets may be biased toward CAD objects rather than sensor scans' — 提出了独特的具体问题""]"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_plain.json,cc,codex_surveys,3d_point_cloud_processing,plain,4,minor,invalid,False,10,Taxonomy or framework problem,"Figure references in text describe content not shown. The taxonomy diagram is referenced as Figure 1 but the LaTeX source omits actual figure rendering, making it unclear what 'compact taxonomy' was intended.",Figure 1 caption (line 144) and Section 4 (lines 106-108),该指控无效。Survey的main.tex使用TikZ完整代码绘制了图1的分类树，包括'3D point cloud processing'根节点及其下的'Classical geometry'、'Direct point sets'、'Discretized/hybrid'等5个表示方法分支，以及'Segmentation'、'Detection'、'Registration'、'Completion and generation'等任务节点，代码结构和连接关系清晰完整。这不是一个'内容缺失'问题，而是LaTeX源码在未见PDF输出时的正常状态，不构成调查本身的质量缺陷。,"['\\begin{tikzpicture}...[node distance=7mm and 9mm, box/.style={draw, rounded corners=2pt...}] 完整的TikZ绘图代码存在', ' 各节点定义和\\draw[arrow]连接线均已包含']"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_arise.json,cc,codex_surveys,3d_point_cloud_processing,arise,1,minor,valid,True,11,Evidence support insufficient,No explicit audience statement; readers must infer the target from tone and content,Introduction section,"该弱点成立。调查在""Scope and Research Method""部分界定了研究范围（""point cloud processing for geometric perception and representation learning""）和排除领域（graphics、neural rendering等），但通篇没有明确说明目标读者群体，例如""本调查面向有深度学习基础的3D视觉研究者""或""为工程师提供实践指南""。读者只能从行文风格和涵盖内容推断受众群体，这对于定位读者期望和阅读门槛来说是不够的。","['Scope and Research Method中仅说明""we prioritized papers""和范围界定，未说明目标读者']"
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_arise.json,cc,codex_surveys,3d_point_cloud_processing,arise,2,moderate,valid,True,2,Comparison insufficient,Missing quantitative performance comparison tables across methods for different tasks,Task sections (sections 10-13),该弱点成立。在语义分割、目标检测、配准、补全等核心任务章节（对应第10-13节）中，调查仅描述各方法的技术路线和贡献，完全没有构建数值性能对比表。Evaluation and Metrics一节虽然讨论了各类任务的评估指标（mIoU、AP、Chamfer距离等），但仅限于指标本身的定义层面，未呈现不同方法在同一指标下的实际数值对比结果。这与许多顶级综述（如同领域的图像分类综述）形成差距，读者无法快速获得方法优劣的全局判断。,['Section 12 Evaluation and Metrics仅讨论指标定义，无数值比较；各任务章节（如Section 10 SemSeg）描述方法但无性能表格']
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_arise.json,cc,codex_surveys,3d_point_cloud_processing,arise,3,moderate,valid,True,12,Writing clarity and presentation,"Several important recent directions receive only brief mention: diffusion models for point clouds, neural implicit representations, language grounding","Completion and generation section (lines 248), transformers section (lines 216-218)","该弱点成立。关于扩散模型，生成部分仅以""Generative models for point clouds include autoencoders, GANs, normalizing flows, diffusion models""一句带过，未展开扩散模型在点云生成中的具体进展（如Point-E、Diffusion on Point Clouds等）。关于神经隐式表征，该调查仅在Completion部分以footnote式提及Occupancy Networks和DeepSDF，缺乏对隐式表征作为点云处理范式的独立讨论。关于语言锚定，Open Problems中虽提到""open-vocabulary 3D segmentation""和""multimodal pretraining with images and language""，但主体章节中没有展开最新进展。这三个方向均为2022-2024年点云领域的热点，但均未得到充分覆盖。",['Completion节仅列举diffusion models为生成方法之一，未展开；Completion节以脚注方式提及Occupancy Networks和DeepSDF；Open Problems提及多模态但主体章节未深入']
baselines_2_semantic_meta_review,cc/codex_surveys/3d_point_cloud_processing_arise.json,cc,codex_surveys,3d_point_cloud_processing,arise,4,minor,valid,True,11,Evidence support insufficient,Limited discussion of how different methods perform under adversarial conditions,"Robustness section (section 14, lines 271-273)",该弱点成立。Robustness节承认了多种实际失败场景（density shifts、sensor noise、motion distortion等），但未能将这些失败与具体文献关联。专门的对抗鲁棒性研究（如PointNet的对抗攻击、对抗扰动下的点云分类鲁棒性分析、PointGuard等）在文中完全没有引用和讨论。讨论Robustness而不覆盖对抗条件下的方法表现，在学术严格性上是一处空白。不过该弱点被标为minor级别，影响程度有限。,"['Section 14提到常见失败条件但无对应文献支撑；全文无""adversarial""相关文献引用；无点云对抗攻击/防御专项讨论']"
baselines_2_semantic_meta_review,cc/codex_surveys/active_learning_plain.json,cc,codex_surveys,active_learning,plain,1,moderate,valid,True,11,Evidence support insufficient,"The paper attributes authorship to 'Codex Research Survey' without named authors, making it difficult to establish credibility or accountability for the content",Author declaration in the preamble,论文的作者字段确实只声明为'Codex Research Survey'，没有具体姓名的作者信息。这是一个真实的学术规范问题：署名建立了内容可信度和责任归属，使读者能够评估作者资质，也使得论文可以被正确引用。本调查虽然内容详实、结构完整，但匿名作者制确实削弱了这些优势。从论文的综合性范围和参考文献完整性来看，本应配合署名以便读者评估。,['\\author{Codex Research Survey}']
baselines_2_semantic_meta_review,cc/codex_surveys/active_learning_plain.json,cc,codex_surveys,active_learning,plain,2,moderate,valid,True,11,Evidence support insufficient,"The foundation-model era section, while timely, lacks depth on specific recent developments such as RLHF data selection, Constitutional AI annotation strategies, or retrieval-augmented active learning for LLMs",Section: Active Learning in the Foundation-Model Era,论文在Foundation-Model Era部分确实只提供了概念层面的讨论，提到了'指令微调、偏好学习、红队测试和数据选择'等关键词，但缺少对RLHF数据选择、Constitutional AI标注策略或检索增强AL等具体近期发展的深入阐述。该部分更多是描述性框架而非具体方法综述，这在活跃发展的LLM数据获取领域是一个实质性的深度不足。,"[""'For large language models, active learning intersects with instruction tuning, preference learning, red-teaming, and data selection.'"", ""'The question is no longer only which label a human should provide, but which prompt, conversation, comparison, critique, or safety case should be collected.'""]"
baselines_2_semantic_meta_review,cc/codex_surveys/active_learning_plain.json,cc,codex_surveys,active_learning,plain,3,minor,invalid,False,11,Evidence support insufficient,"Missing coverage of some relevant recent work: transformer-specific active learning methods, diffusion model data selection, and conformal prediction-based acquisition","Throughout, but especially the Deep Active Learning section","论文在开头明确声明了范围和优先级：'The paper does not aim to exhaust every domain-specific variant; instead it emphasizes concepts, representative methods, and evaluation lessons that recur across domains。'在Deep AL章节中，论文讨论了核心方法论（Bayesian深度AL、核心集、梯度嵌入、学习到的获取函数），这些都是跨领域适用的代表性概念。要求一篇综述覆盖transformer特异性方法、扩散模型数据选择和共形预测获取超出了该综述明确声明的范围。","[""'The paper does not aim to exhaust every domain-specific variant; instead it emphasizes concepts, representative methods, and evaluation lessons that recur across domains.'"", 'Deep Active Learning section covers Bayesian methods, core-sets, gradient embeddings, and learned acquisition functions as representative frameworks.']"
baselines_2_semantic_meta_review,cc/codex_surveys/active_learning_plain.json,cc,codex_surveys,active_learning,plain,4,minor,valid,True,2,Comparison insufficient,"The Applications section is relatively shallow, providing high-level summaries without quantitative performance comparisons or detailed method comparisons across application domains",Section: Applications (lines 196-218),Applications部分（lines 196-218附近）确实采用高层综述形式，每个应用领域只描述了AL的应用场景而缺少定量性能对比或具体方法比较。例如在NLP部分提到'Lewis and Gale's sequential text-classification work is a classic early example'，在医学影像部分引用了调研论文但没有汇报具体的性能提升数据。这种做法与论文自称'research-oriented synthesis'的定位存在一定张力，因为研究导向综述通常应包含可操作的性能基准参考。,"[""'Lewis and Gale's sequential text-classification work is a classic early example'"", ""'Budd, Robinson, and Kainz survey active learning and human-in-the-loop deep learning for medical image analysis'""]"
