category,paper_id,observed_concern,risk_vote
contrast,3,0,1.0
contrast,4,0,0.0
contrast,5,1,0.2
contrast,6,1,1.0
contrast,7,1,1.0
contrast,8,0,1.0
contrast,9,0,1.0
contrast,10,1,0.0
contrast,11,0,1.0
contrast,12,0,1.0
contrast,13,0,0.0
contrast,14,1,0.6
contrast,15,1,0.0
contrast,16,0,1.0
contrast,17,1,1.0
contrast,18,1,1.0
contrast,19,0,0.8
contrast,20,1,1.0
contrast,21,1,1.0
contrast,22,1,1.0
contrast,23,1,0.4
contrast,24,0,0.0
contrast,25,0,1.0
contrast,26,1,1.0
contrast,27,0,1.0
contrast,28,1,0.0
contrast,29,1,1.0
contrast,30,1,1.0
contrast,31,1,0.0
contrast,32,0,1.0
contrast,33,1,1.0
contrast,34,1,1.0
contrast,35,1,1.0
contrast,36,1,0.0
contrast,38,0,1.0
contrast,39,1,1.0
contrast,40,1,0.2
contrast,41,0,1.0
contrast,42,1,1.0
contrast,43,0,1.0
contrast,44,1,0.0
contrast,45,1,0.0
contrast,46,1,1.0
contrast,47,1,0.8
contrast,48,0,0.0
contrast,49,1,0.6
contrast,50,1,1.0
contrast,51,1,0.0
contrast,52,1,1.0
contrast,53,1,1.0
contrast,54,1,1.0
contrast,55,1,1.0
contrast,56,1,0.4
contrast,57,1,1.0
contrast,58,0,1.0
contrast,59,1,0.8
contrast,60,0,0.0
contrast,61,1,1.0
contrast,62,1,1.0
contrast,63,1,1.0
contrast,64,1,1.0
contrast,65,1,1.0
contrast,66,1,1.0
contrast,67,0,1.0
contrast,68,0,0.0
contrast,69,1,1.0
contrast,70,1,0.6
contrast,71,0,0.0
contrast,72,1,0.6
contrast,73,1,0.0
contrast,74,1,0.6
contrast,75,1,1.0
contrast,76,1,1.0
contrast,77,0,0.8
contrast,78,0,0.0
contrast,79,0,1.0
contrast,80,1,1.0
contrast,81,1,1.0
contrast,82,0,1.0
contrast,83,1,1.0
contrast,84,1,1.0
contrast,85,0,0.0
contrast,86,0,1.0
contrast,87,1,0.0
contrast,88,0,1.0
contrast,89,0,0.8
contrast,90,1,1.0
contrast,91,1,0.6
contrast,92,1,1.0
contrast,93,1,0.2
contrast,94,1,1.0
contrast,95,1,0.0
contrast,96,0,0.6
contrast,97,1,0.0
contrast,98,1,1.0
contrast,99,0,0.0
contrast,100,1,1.0
contrast,101,0,1.0
contrast,102,1,1.0
contrast,103,0,1.0
contrast,104,0,1.0
contrast,105,1,0.0
contrast,106,0,0.8
contrast,107,1,1.0
contrast,108,1,1.0
contrast,109,1,0.0
contrast,110,1,1.0
contrast,111,1,0.0
contrast,112,0,1.0
contrast,113,0,1.0
contrast,114,0,0.0
contrast,115,0,1.0
contrast,116,1,0.0
contrast,117,1,1.0
contrast,118,1,0.0
contrast,122,0,1.0
contrast,123,0,0.2
contrast,124,0,1.0
contrast,126,0,0.2
contrast,130,1,1.0
contrast,132,0,1.0
contrast,133,1,1.0
contrast,134,1,0.6
contrast,135,1,1.0
contrast,136,1,1.0
contrast,137,1,1.0
contrast,138,0,1.0
contrast,139,0,1.0
contrast,140,1,1.0
contrast,142,0,1.0
contrast,143,1,1.0
contrast,144,0,1.0
contrast,145,1,0.4
contrast,146,0,1.0
contrast,147,1,1.0
contrast,148,0,1.0
contrast,149,0,0.6
contrast,150,0,1.0
contrast,151,1,1.0
contrast,152,1,0.8
contrast,153,1,0.0
contrast,154,1,1.0
contrast,155,1,1.0
contrast,156,0,1.0
contrast,157,0,0.0
contrast,158,0,0.4
contrast,159,1,1.0
contrast,160,0,1.0
contrast,161,0,0.0
contrast,162,1,1.0
contrast,164,0,1.0
contrast,165,1,1.0
contrast,166,1,0.0
contrast,167,0,0.8
contrast,168,1,0.8
contrast,169,0,0.0
contrast,170,1,0.0
contrast,171,0,0.0
contrast,172,0,1.0
contrast,173,0,0.8
contrast,174,0,0.0
contrast,175,0,1.0
contrast,176,0,0.0
contrast,177,0,0.0
contrast,178,0,0.0
contrast,179,0,0.0
contrast,180,0,1.0
synthesis,1,1,0.0
synthesis,2,0,1.0
synthesis,3,1,1.0
synthesis,4,1,0.4
synthesis,5,1,1.0
synthesis,6,1,1.0
synthesis,7,1,1.0
synthesis,8,1,0.0
synthesis,9,1,1.0
synthesis,10,1,1.0
synthesis,11,1,1.0
synthesis,12,1,1.0
synthesis,13,1,1.0
synthesis,14,1,1.0
synthesis,15,1,0.6
synthesis,16,1,0.0
synthesis,17,0,1.0
synthesis,18,1,0.6
synthesis,19,1,1.0
synthesis,20,1,1.0
synthesis,21,1,0.0
synthesis,22,1,0.0
synthesis,23,0,0.8
synthesis,24,1,0.4
synthesis,25,0,0.4
synthesis,26,1,1.0
synthesis,27,1,1.0
synthesis,28,0,1.0
synthesis,29,1,1.0
synthesis,30,1,0.8
synthesis,31,1,0.0
synthesis,32,1,1.0
synthesis,33,1,0.0
synthesis,34,1,1.0
synthesis,35,1,1.0
synthesis,36,1,1.0
synthesis,38,1,1.0
synthesis,39,1,1.0
synthesis,40,1,0.0
synthesis,41,1,1.0
synthesis,42,1,1.0
synthesis,43,1,1.0
synthesis,44,1,1.0
synthesis,45,1,0.0
synthesis,46,1,0.0
synthesis,47,1,1.0
synthesis,48,1,1.0
synthesis,49,1,1.0
synthesis,50,1,1.0
synthesis,51,1,0.0
synthesis,52,1,1.0
synthesis,53,1,1.0
synthesis,54,0,0.0
synthesis,55,1,1.0
synthesis,56,1,1.0
synthesis,57,1,1.0
synthesis,58,1,0.4
synthesis,59,1,1.0
synthesis,60,0,1.0
synthesis,61,1,1.0
synthesis,62,1,0.2
synthesis,63,1,1.0
synthesis,64,1,1.0
synthesis,65,1,1.0
synthesis,66,1,1.0
synthesis,67,0,0.0
synthesis,68,1,1.0
synthesis,69,1,1.0
synthesis,70,1,0.0
synthesis,71,1,1.0
synthesis,72,1,0.0
synthesis,73,1,1.0
synthesis,74,1,1.0
synthesis,75,1,1.0
synthesis,76,1,1.0
synthesis,77,0,1.0
synthesis,78,0,1.0
synthesis,79,0,1.0
synthesis,80,1,0.8
synthesis,81,1,1.0
synthesis,82,0,1.0
synthesis,83,0,0.0
synthesis,84,1,1.0
synthesis,85,1,1.0
synthesis,86,1,1.0
synthesis,87,1,1.0
synthesis,88,1,1.0
synthesis,89,1,0.0
synthesis,90,1,1.0
synthesis,91,1,1.0
synthesis,92,1,0.0
synthesis,93,1,0.0
synthesis,94,1,1.0
synthesis,95,1,0.0
synthesis,96,0,0.0
synthesis,97,1,1.0
synthesis,98,1,1.0
synthesis,99,1,0.0
synthesis,100,1,0.0
synthesis,101,0,0.0
synthesis,102,1,1.0
synthesis,103,1,1.0
synthesis,104,1,0.6
synthesis,105,1,1.0
synthesis,106,1,0.0
synthesis,107,1,1.0
synthesis,108,1,1.0
synthesis,109,0,0.0
synthesis,110,1,1.0
synthesis,111,1,0.0
synthesis,112,1,1.0
synthesis,113,0,1.0
synthesis,114,1,0.2
synthesis,115,1,1.0
synthesis,116,0,1.0
synthesis,117,1,1.0
synthesis,118,1,1.0
synthesis,122,0,1.0
synthesis,123,1,1.0
synthesis,124,0,0.0
synthesis,126,1,1.0
synthesis,130,0,0.0
synthesis,132,0,1.0
synthesis,133,1,0.2
synthesis,134,1,1.0
synthesis,135,1,0.0
synthesis,136,1,0.0
synthesis,137,0,1.0
synthesis,138,0,1.0
synthesis,139,1,1.0
synthesis,140,1,1.0
synthesis,142,0,1.0
synthesis,143,1,1.0
synthesis,144,1,0.0
synthesis,145,1,1.0
synthesis,146,0,1.0
synthesis,147,0,1.0
synthesis,148,1,1.0
synthesis,149,1,0.0
synthesis,150,1,1.0
synthesis,151,1,0.0
synthesis,152,1,0.0
synthesis,153,0,1.0
synthesis,154,1,1.0
synthesis,155,1,1.0
synthesis,156,0,1.0
synthesis,157,0,1.0
synthesis,158,1,1.0
synthesis,159,1,1.0
synthesis,160,1,0.0
synthesis,161,1,1.0
synthesis,162,0,1.0
synthesis,164,1,1.0
synthesis,165,1,1.0
synthesis,166,1,1.0
synthesis,167,0,1.0
synthesis,168,1,1.0
synthesis,169,1,0.0
synthesis,170,1,1.0
synthesis,171,0,1.0
synthesis,172,0,1.0
synthesis,173,0,0.0
synthesis,174,0,1.0
synthesis,175,0,0.0
synthesis,176,0,0.2
synthesis,177,0,1.0
synthesis,178,0,0.2
synthesis,179,0,0.0
synthesis,180,0,1.0
scope,1,0,0.0
scope,2,0,0.0
scope,3,1,1.0
scope,4,0,0.0
scope,5,0,0.0
scope,6,0,0.0
scope,7,0,0.0
scope,8,0,0.0
scope,9,0,0.0
scope,10,0,0.0
scope,11,0,0.0
scope,12,0,0.0
scope,13,0,0.0
scope,14,1,0.0
scope,15,0,0.0
scope,16,1,0.0
scope,17,0,0.0
scope,18,1,0.0
scope,19,0,0.0
scope,20,0,0.0
scope,21,1,0.0
scope,22,1,0.0
scope,23,0,0.0
scope,24,1,0.0
scope,25,1,0.0
scope,26,1,0.0
scope,27,0,0.0
scope,28,0,0.0
scope,29,0,0.0
scope,30,0,0.0
scope,31,0,0.0
scope,32,1,0.0
scope,33,1,0.0
scope,34,0,0.0
scope,35,0,0.0
scope,36,0,0.0
scope,38,0,0.0
scope,39,0,1.0
scope,40,1,0.0
scope,41,0,0.0
scope,42,0,0.0
scope,43,0,0.0
scope,44,0,1.0
scope,45,0,0.0
scope,46,1,0.0
scope,47,0,0.0
scope,48,0,0.0
scope,49,1,0.0
scope,50,1,0.0
scope,51,1,1.0
scope,52,0,0.0
scope,53,1,0.0
scope,54,1,0.0
scope,55,1,0.0
scope,56,1,0.0
scope,57,1,1.0
scope,58,0,0.0
scope,59,0,0.0
scope,60,0,0.0
scope,61,1,0.0
scope,62,0,0.0
scope,63,0,0.0
scope,64,1,0.0
scope,65,1,0.0
scope,66,0,0.0
scope,67,1,0.0
scope,68,0,0.0
scope,69,1,0.0
scope,70,1,0.0
scope,71,0,0.0
scope,72,0,0.0
scope,73,1,0.0
scope,74,0,0.0
scope,75,1,0.0
scope,76,1,0.0
scope,77,0,0.0
scope,78,0,0.0
scope,79,0,0.0
scope,80,0,0.0
scope,81,1,0.0
scope,82,1,0.0
scope,83,1,0.0
scope,84,1,0.0
scope,85,1,0.0
scope,86,0,0.0
scope,87,1,0.0
scope,88,1,0.0
scope,89,1,0.0
scope,90,1,0.0
scope,91,0,0.0
scope,92,0,1.0
scope,93,1,0.0
scope,94,0,0.0
scope,95,0,0.0
scope,96,0,0.0
scope,97,0,1.0
scope,98,0,1.0
scope,99,0,0.0
scope,100,1,0.0
scope,101,1,0.0
scope,102,1,0.0
scope,103,0,1.0
scope,104,1,1.0
scope,105,0,0.0
scope,106,1,0.0
scope,107,1,0.0
scope,108,1,0.0
scope,109,0,0.0
scope,110,1,1.0
scope,111,1,0.0
scope,112,1,0.0
scope,113,0,0.0
scope,114,0,0.0
scope,115,1,0.0
scope,116,0,0.0
scope,117,0,1.0
scope,118,1,0.0
scope,122,1,1.0
scope,123,1,0.0
scope,124,0,0.0
scope,126,0,0.0
scope,130,1,0.0
scope,132,1,0.0
scope,133,0,0.0
scope,134,1,0.0
scope,135,0,0.0
scope,136,1,1.0
scope,137,1,1.0
scope,138,0,0.0
scope,139,0,1.0
scope,140,0,0.0
scope,142,1,0.0
scope,143,1,0.0
scope,144,0,0.0
scope,145,0,0.0
scope,146,0,0.0
scope,147,0,0.0
scope,148,0,0.0
scope,149,1,0.0
scope,150,1,1.0
scope,151,0,0.0
scope,152,0,0.0
scope,153,1,0.0
scope,154,0,0.0
scope,155,1,1.0
scope,156,0,0.0
scope,157,0,0.0
scope,158,0,0.0
scope,159,1,0.0
scope,160,0,0.0
scope,161,0,0.0
scope,162,0,0.0
scope,164,0,0.0
scope,165,1,0.0
scope,166,0,0.0
scope,167,0,0.0
scope,168,1,0.0
scope,169,0,0.0
scope,170,1,0.0
scope,171,0,0.0
scope,172,0,0.0
scope,173,0,0.0
scope,174,0,0.0
scope,175,0,0.0
scope,176,0,0.0
scope,177,0,1.0
scope,178,0,0.0
scope,179,0,0.0
scope,180,0,0.0
contribution,1,1,0.0
contribution,2,0,0.0
contribution,3,1,1.0
contribution,4,0,0.0
contribution,5,1,0.0
contribution,6,0,0.0
contribution,7,1,0.0
contribution,8,0,0.0
contribution,9,0,0.0
contribution,10,1,0.0
contribution,11,1,0.0
contribution,12,0,0.0
contribution,13,1,0.0
contribution,14,1,0.0
contribution,15,1,0.0
contribution,16,0,0.0
contribution,17,1,0.0
contribution,18,1,0.0
contribution,19,0,1.0
contribution,20,0,0.0
contribution,21,1,0.0
contribution,22,1,0.0
contribution,23,0,1.0
contribution,24,0,0.0
contribution,25,0,0.0
contribution,26,1,1.0
contribution,27,0,1.0
contribution,28,1,0.0
contribution,29,0,1.0
contribution,30,0,0.0
contribution,31,0,0.0
contribution,32,0,0.0
contribution,33,1,0.0
contribution,34,0,0.0
contribution,35,0,0.0
contribution,36,1,0.0
contribution,38,0,0.0
contribution,39,0,0.0
contribution,40,0,0.0
contribution,41,0,0.0
contribution,42,1,0.0
contribution,43,1,0.0
contribution,44,0,0.0
contribution,45,0,0.0
contribution,46,1,0.0
contribution,47,1,0.0
contribution,48,0,0.0
contribution,49,1,0.0
contribution,50,1,0.0
contribution,51,0,0.0
contribution,52,1,0.0
contribution,53,1,0.0
contribution,54,0,0.0
contribution,55,0,0.0
contribution,56,1,0.0
contribution,57,1,0.0
contribution,58,1,0.0
contribution,59,1,0.0
contribution,60,0,0.0
contribution,61,1,0.0
contribution,62,0,0.0
contribution,63,0,0.0
contribution,64,1,0.0
contribution,65,1,0.0
contribution,66,0,0.0
contribution,67,0,0.0
contribution,68,0,0.0
contribution,69,1,0.0
contribution,70,0,0.0
contribution,71,0,0.0
contribution,72,1,0.0
contribution,73,1,0.0
contribution,74,1,0.0
contribution,75,0,0.0
contribution,76,1,0.0
contribution,77,1,0.0
contribution,78,1,0.0
contribution,79,1,0.0
contribution,80,1,0.0
contribution,81,0,0.0
contribution,82,1,0.0
contribution,83,0,1.0
contribution,84,0,0.0
contribution,85,1,0.0
contribution,86,0,0.0
contribution,87,1,0.0
contribution,88,0,0.0
contribution,89,0,0.0
contribution,90,0,0.0
contribution,91,0,0.0
contribution,92,0,0.0
contribution,93,1,0.0
contribution,94,0,0.0
contribution,95,0,0.0
contribution,96,0,0.0
contribution,97,0,0.0
contribution,98,1,0.0
contribution,99,0,0.0
contribution,100,1,0.0
contribution,101,1,0.0
contribution,102,0,0.0
contribution,103,0,0.0
contribution,104,1,0.0
contribution,105,0,0.0
contribution,106,0,0.0
contribution,107,1,0.0
contribution,108,1,0.0
contribution,109,0,0.0
contribution,110,0,0.0
contribution,111,0,0.0
contribution,112,0,1.0
contribution,113,0,0.0
contribution,114,0,0.0
contribution,115,0,0.0
contribution,116,0,0.0
contribution,117,0,0.0
contribution,118,1,0.0
contribution,122,0,0.0
contribution,123,1,0.0
contribution,124,0,0.0
contribution,126,0,0.0
contribution,130,1,0.0
contribution,132,1,0.0
contribution,133,1,0.0
contribution,134,1,0.0
contribution,135,0,0.0
contribution,136,1,0.0
contribution,137,0,0.0
contribution,138,1,0.0
contribution,139,1,0.0
contribution,140,0,0.0
contribution,142,0,0.0
contribution,143,1,0.0
contribution,144,0,0.0
contribution,145,1,0.0
contribution,146,0,0.0
contribution,147,1,0.0
contribution,148,0,0.0
contribution,149,1,0.0
contribution,150,0,0.0
contribution,151,0,0.0
contribution,152,0,0.0
contribution,153,1,0.0
contribution,154,0,0.0
contribution,155,0,0.0
contribution,156,1,0.0
contribution,157,1,0.0
contribution,158,1,0.0
contribution,159,0,0.0
contribution,160,1,0.0
contribution,161,0,0.0
contribution,162,1,0.0
contribution,164,0,0.0
contribution,165,0,0.0
contribution,166,0,0.0
contribution,167,0,0.0
contribution,168,1,0.0
contribution,169,1,0.0
contribution,170,1,0.0
contribution,171,0,0.0
contribution,172,0,0.0
contribution,173,0,0.0
contribution,174,0,1.0
contribution,175,0,0.0
contribution,176,0,0.0
contribution,177,0,0.0
contribution,178,0,0.0
contribution,179,0,0.0
contribution,180,0,0.0
reference,1,1,1.0
reference,2,0,0.0
reference,3,1,1.0
reference,4,1,0.6
reference,5,1,1.0
reference,6,0,1.0
reference,7,0,0.0
reference,8,0,1.0
reference,9,1,0.0
reference,10,1,0.0
reference,11,1,1.0
reference,12,1,0.8
reference,13,1,0.8
reference,14,0,0.0
reference,15,1,1.0
reference,16,1,1.0
reference,17,1,1.0
reference,18,0,1.0
reference,19,1,0.0
reference,20,1,0.2
reference,21,1,1.0
reference,22,0,1.0
reference,23,1,0.0
reference,24,0,1.0
reference,25,1,1.0
reference,26,1,0.4
reference,27,0,1.0
reference,28,1,0.0
reference,29,1,0.6
reference,30,0,1.0
reference,31,1,1.0
reference,32,0,1.0
reference,33,1,1.0
reference,34,0,1.0
reference,35,1,0.8
reference,36,1,0.0
reference,38,1,1.0
reference,39,0,1.0
reference,40,0,0.0
reference,41,1,1.0
reference,42,1,1.0
reference,43,1,0.2
reference,44,0,1.0
reference,45,1,0.0
reference,46,1,1.0
reference,47,0,1.0
reference,48,1,0.8
reference,49,1,0.0
reference,50,0,0.8
reference,51,1,0.0
reference,52,0,0.8
reference,53,1,1.0
reference,54,1,1.0
reference,55,0,1.0
reference,56,1,1.0
reference,57,1,0.8
reference,58,1,0.6
reference,59,1,0.6
reference,60,1,0.0
reference,61,1,0.2
reference,62,1,1.0
reference,63,0,0.6
reference,64,1,1.0
reference,65,0,1.0
reference,66,1,1.0
reference,67,1,0.8
reference,68,1,1.0
reference,69,1,0.8
reference,70,1,1.0
reference,71,0,0.0
reference,72,0,0.0
reference,73,1,1.0
reference,74,1,1.0
reference,75,0,1.0
reference,76,1,1.0
reference,77,1,1.0
reference,78,0,0.0
reference,79,0,1.0
reference,80,0,1.0
reference,81,1,1.0
reference,82,1,1.0
reference,83,0,1.0
reference,84,1,1.0
reference,85,1,0.0
reference,86,0,1.0
reference,87,0,1.0
reference,88,1,0.8
reference,89,1,1.0
reference,90,1,1.0
reference,91,1,1.0
reference,92,1,1.0
reference,93,1,1.0
reference,94,1,1.0
reference,95,1,1.0
reference,96,1,0.0
reference,97,1,0.0
reference,98,0,1.0
reference,99,0,0.0
reference,100,0,0.0
reference,101,0,1.0
reference,102,1,1.0
reference,103,1,1.0
reference,104,0,1.0
reference,105,1,1.0
reference,106,1,1.0
reference,107,0,1.0
reference,108,1,1.0
reference,109,0,0.0
reference,110,0,1.0
reference,111,0,1.0
reference,112,1,1.0
reference,113,1,0.0
reference,114,1,1.0
reference,115,0,1.0
reference,116,0,1.0
reference,117,0,0.0
reference,118,0,0.0
reference,122,1,0.8
reference,123,1,0.0
reference,124,0,1.0
reference,126,0,1.0
reference,130,1,1.0
reference,132,1,1.0
reference,133,1,1.0
reference,134,1,0.0
reference,135,1,1.0
reference,136,1,1.0
reference,137,0,1.0
reference,138,1,1.0
reference,139,1,0.4
reference,140,0,0.0
reference,142,0,0.0
reference,143,0,1.0
reference,144,1,0.4
reference,145,1,0.2
reference,146,0,1.0
reference,147,0,1.0
reference,148,1,1.0
reference,149,1,0.8
reference,150,1,1.0
reference,151,0,1.0
reference,152,1,1.0
reference,153,1,1.0
reference,154,1,0.0
reference,155,1,1.0
reference,156,1,1.0
reference,157,1,1.0
reference,158,1,0.0
reference,159,1,0.8
reference,160,1,0.8
reference,161,1,1.0
reference,162,1,0.2
reference,164,1,1.0
reference,165,1,1.0
reference,166,1,1.0
reference,167,0,0.0
reference,168,0,1.0
reference,169,0,1.0
reference,170,0,0.0
reference,171,0,0.0
reference,172,0,1.0
reference,173,0,1.0
reference,174,0,0.6
reference,175,0,1.0
reference,176,0,0.0
reference,177,0,1.0
reference,178,0,0.0
reference,179,0,0.0
reference,180,0,1.0
topic,1,0,1.0
topic,2,0,1.0
topic,3,1,1.0
topic,4,1,1.0
topic,5,1,1.0
topic,6,1,0.0
topic,7,1,1.0
topic,8,1,1.0
topic,9,1,1.0
topic,10,1,1.0
topic,11,1,1.0
topic,12,1,1.0
topic,13,1,1.0
topic,14,1,1.0
topic,15,1,1.0
topic,16,1,1.0
topic,17,1,1.0
topic,18,1,1.0
topic,19,1,0.0
topic,20,1,1.0
topic,21,1,1.0
topic,22,1,0.0
topic,23,1,1.0
topic,24,1,1.0
topic,25,1,0.0
topic,26,1,0.0
topic,27,0,1.0
topic,28,1,0.0
topic,29,1,0.0
topic,30,1,0.0
topic,31,1,1.0
topic,32,1,1.0
topic,33,1,1.0
topic,34,1,1.0
topic,35,1,1.0
topic,36,1,1.0
topic,38,1,1.0
topic,39,1,1.0
topic,40,1,1.0
topic,41,1,1.0
topic,42,1,1.0
topic,43,1,0.0
topic,44,1,1.0
topic,45,1,1.0
topic,46,1,1.0
topic,47,1,0.0
topic,48,1,1.0
topic,49,1,1.0
topic,50,1,1.0
topic,51,1,1.0
topic,52,1,0.0
topic,53,1,1.0
topic,54,1,0.0
topic,55,1,0.0
topic,56,0,0.0
topic,57,1,0.0
topic,58,1,1.0
topic,59,1,1.0
topic,60,1,1.0
topic,61,1,0.0
topic,62,1,0.0
topic,63,1,1.0
topic,64,1,1.0
topic,65,1,1.0
topic,66,1,0.0
topic,67,1,0.0
topic,68,1,0.0
topic,69,1,1.0
topic,70,1,0.0
topic,71,1,0.0
topic,72,1,1.0
topic,73,1,0.0
topic,74,1,1.0
topic,75,1,1.0
topic,76,1,1.0
topic,77,1,1.0
topic,78,1,1.0
topic,79,0,1.0
topic,80,1,0.0
topic,81,0,0.0
topic,82,0,0.0
topic,83,1,1.0
topic,84,1,1.0
topic,85,1,1.0
topic,86,1,1.0
topic,87,1,1.0
topic,88,1,1.0
topic,89,1,1.0
topic,90,1,0.0
topic,91,1,1.0
topic,92,1,0.8
topic,93,1,1.0
topic,94,1,0.0
topic,95,0,1.0
topic,96,1,1.0
topic,97,1,1.0
topic,98,0,1.0
topic,99,0,1.0
topic,100,1,1.0
topic,101,1,0.0
topic,102,1,1.0
topic,103,1,1.0
topic,104,1,1.0
topic,105,1,1.0
topic,106,1,1.0
topic,107,1,0.0
topic,108,1,0.0
topic,109,1,1.0
topic,110,1,1.0
topic,111,0,1.0
topic,112,1,1.0
topic,113,1,1.0
topic,114,1,1.0
topic,115,1,0.0
topic,116,1,1.0
topic,117,1,1.0
topic,118,1,1.0
topic,122,1,1.0
topic,123,1,1.0
topic,124,0,1.0
topic,126,1,1.0
topic,130,1,1.0
topic,132,1,1.0
topic,133,1,1.0
topic,134,1,1.0
topic,135,0,1.0
topic,136,1,1.0
topic,137,1,1.0
topic,138,1,1.0
topic,139,1,1.0
topic,140,0,1.0
topic,142,0,1.0
topic,143,1,1.0
topic,144,1,1.0
topic,145,1,1.0
topic,146,1,1.0
topic,147,1,0.0
topic,148,1,0.0
topic,149,1,1.0
topic,150,1,1.0
topic,151,0,1.0
topic,152,1,1.0
topic,153,1,1.0
topic,154,0,1.0
topic,155,1,1.0
topic,156,1,0.0
topic,157,1,1.0
topic,158,0,1.0
topic,159,1,0.0
topic,160,1,1.0
topic,161,0,0.0
topic,162,1,0.8
topic,164,1,1.0
topic,165,1,0.0
topic,166,1,0.0
topic,167,1,1.0
topic,168,1,0.0
topic,169,1,1.0
topic,170,1,1.0
topic,171,0,1.0
topic,172,0,0.0
topic,173,0,0.0
topic,174,0,1.0
topic,175,0,1.0
topic,176,0,1.0
topic,177,0,1.0
topic,178,0,1.0
topic,179,0,1.0
topic,180,0,1.0
